Track,Title,Date,Start Time,End Time,Location,Description,People ID's,
Game Reviews,"2 Dan and above, Wei Ding (9P)",7/22/2018,1:00 PM,2:50 PM,Classroom A,,1005,Wei Ding (9P)
Game Reviews,"5 Kyu to 1 Dan, Wei Ding (9P)",7/23/2018,1:00 PM,2:50 PM,Tidewater B,,1005,Wei Ding (9P)
Game Reviews,"5 Kyu to 1 Dan, Wei Ding (9P)",7/24/2018,1:00 PM,2:50 PM,Lobby,,1005,Wei Ding (9P)
Game Reviews,"5 Kyu to 1 Dan, Wei Ding (9P)",7/28/2018,1:00 PM,2:50 PM,Tidewater B,,1005,Wei Ding (9P)
Game Reviews,"6 Kyu and below, Stephanie Yin (1P)",7/26/2108,1:00 PM,2:50 PM,Lobby,,1002,Stephanie Yin (1P)
Game Reviews,"6 Kyu and below, Stephanie Yin (1P)",7/28/2018,1:00 PM,2:50 PM,Classroom C,,1002,Stephanie Yin (1P)
Game Reviews,"All levels, Liang Li (5P)",7/22/2018,7:00 PM,8:50 PM,Tidewater B,,1007,Liang Li (5P)
Game Reviews,"5 Kyu to 1 Dan, Liang Li (5P)",7/27/2018,1:00 PM,2:50 PM,Lobby,,1007,Liang Li (5P)
Game Reviews,"2 Dan and above, Liang Li (5P)",7/27/2018,3:00 PM,4:50 PM,Lobby,,1007,Liang Li (5P)
Game Reviews,"6 Kyu and below, Song, Zirui (Tim) (1P)",7/22/2018,1:00 PM,2:50 PM,Lobby,,1017,"Song, Zirui (Tim) (1P)"
Game Reviews,"2 Dan and above, Song, Zirui (Tim) (1P)",7/23/2018,1:00 PM,2:50 PM,Lobby,,1017,"Song, Zirui (Tim) (1P)"
Game Reviews,"5 Kyu to 1 Dan, Song, Zirui (Tim) (1P)",7/26/2018,1:00 PM,2:50 PM,Tidewater B,,1017,"Song, Zirui (Tim) (1P)"
Game Reviews,"Kyu level, Katsura, Atsushi (5P)",7/26/2018,3:00 PM,4:50 PM,Lobby,,1010,"Katsura, Atsushi (5P)"
Game Reviews,"All levels, Song, HyeRyung (2P)",7/23/2018,10:00 AM,11:50 AM,Lobby,,1015,"Song, HyeRyung (2P)"
Game Reviews,"6 Kyu and below, Song, HyeRyung (2P)",7/23/2018,1:00 PM,2:50 PM,Lobby,,1015,"Song, HyeRyung (2P)"
Game Reviews,"6 Kyu and below, Song, HyeRyung (2P)",7/27/2018,1:00 PM,2:50 PM,Lobby,,1015,"Song, HyeRyung (2P)"
Game Reviews,"All levels, Song, HyeRyung (2P)",7/28/2018,10:00 AM,11:50 AM,Lobby,,1015,"Song, HyeRyung (2P)"
Game Reviews,"5 Kyu to 1 Dan, Kim, Yoonyoung (4P)",7/22/2018,1:00 PM,2:50 PM,Lobby,,1003,"Kim, Yoonyoung (4P)"
Game Reviews,"6 Kyu and below, Kim, Yoonyoung (4P)",7/24/2018,1:00 PM,2:50 PM,Lobby,,1003,"Kim, Yoonyoung (4P)"
Game Reviews,"2 Dan and above, Kim, Yoonyoung (4P)",7/27/2018,1:00 PM,2:50 PM,Lobby,,1003,"Kim, Yoonyoung (4P)"
